project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	analyte_id	analyte_submitter_id	a260_a280_ratio	amount	analyte_quantity	analyte_type	analyte_type_id	analyte_volume	concentration	experimental_protocol_type	normal_tumor_genotype_snp_match	ribosomal_rna_28s_16s_ratio	rna_integrity_number	spectrophotometer_method	state	well_number
TCGA-BRCA	a8b1f6e7-2bcf-460d-b1c6-1792a9801119	TCGA-E9-A1NF	0c30cd0e-a2d2-42b0-9ca9-8297de64e4a8	TCGA-E9-A1NF-01A	d2133717-526c-4fd2-b7cf-62fdeaf9547d	TCGA-E9-A1NF-01A-11	74176a97-2f8c-4058-8b69-e390c748512f	TCGA-E9-A1NF-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-BRCA	a8b1f6e7-2bcf-460d-b1c6-1792a9801119	TCGA-E9-A1NF	0c30cd0e-a2d2-42b0-9ca9-8297de64e4a8	TCGA-E9-A1NF-01A	d2133717-526c-4fd2-b7cf-62fdeaf9547d	TCGA-E9-A1NF-01A-11	b92a22a9-a635-4044-9e04-88b9796d5256	TCGA-E9-A1NF-01A-11D	1.84	'--	'--	DNA	D	'--	0.17	aDNA Preparation Type	Yes	'--	'--	UV Spec	released	'--
TCGA-BRCA	a8b1f6e7-2bcf-460d-b1c6-1792a9801119	TCGA-E9-A1NF	0c30cd0e-a2d2-42b0-9ca9-8297de64e4a8	TCGA-E9-A1NF-01A	d2133717-526c-4fd2-b7cf-62fdeaf9547d	TCGA-E9-A1NF-01A-11	dee6c9a6-3d1b-4cbb-b28a-d00705c8fc6d	TCGA-E9-A1NF-01A-11R	1.87	'--	'--	RNA	R	'--	0.16	mirVana (Allprep DNA) RNA	Yes	1.4	8.1	UV Spec	released	'--
TCGA-BRCA	a8b1f6e7-2bcf-460d-b1c6-1792a9801119	TCGA-E9-A1NF	5b799218-c5f2-4213-86a3-d67ed776bb28	TCGA-E9-A1NF-11A	f555bb98-1cc8-400c-a10c-d93897b98bfa	TCGA-E9-A1NF-11A-73	0c488c5a-f377-439b-aa95-dd0dad0c06ce	TCGA-E9-A1NF-11A-73D	1.91	'--	'--	DNA	D	'--	0.16	aDNA Preparation Type	Yes	'--	'--	UV Spec	released	'--
TCGA-BRCA	a8b1f6e7-2bcf-460d-b1c6-1792a9801119	TCGA-E9-A1NF	5b799218-c5f2-4213-86a3-d67ed776bb28	TCGA-E9-A1NF-11A	f555bb98-1cc8-400c-a10c-d93897b98bfa	TCGA-E9-A1NF-11A-73	59d586f9-7955-46e0-bb73-c4e08cbe0998	TCGA-E9-A1NF-11A-73R	1.77	'--	'--	RNA	R	'--	0.16	mirVana (Allprep DNA) RNA	Yes	1.6	8.6	UV Spec	released	'--
TCGA-BRCA	a8b1f6e7-2bcf-460d-b1c6-1792a9801119	TCGA-E9-A1NF	b7feef7b-eeb8-46fe-9414-b6d4749be41b	TCGA-E9-A1NF-10A	222cdb81-7ce1-4d7f-a044-a243b90c7989	TCGA-E9-A1NF-10A-01	d3794b2a-e997-4633-bd41-c5e1236201d2	TCGA-E9-A1NF-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-BRCA	a8b1f6e7-2bcf-460d-b1c6-1792a9801119	TCGA-E9-A1NF	b7feef7b-eeb8-46fe-9414-b6d4749be41b	TCGA-E9-A1NF-10A	222cdb81-7ce1-4d7f-a044-a243b90c7989	TCGA-E9-A1NF-10A-01	d4a9f252-67d8-43ab-b617-a0599361d6ca	TCGA-E9-A1NF-10A-01D	2.05	'--	'--	DNA	D	'--	0.17	aDNA Preparation Type	Yes	'--	'--	UV Spec	released	'--
TCGA-BRCA	17f275c1-a0d4-487d-8f02-ea279584b4cd	TCGA-D8-A13Y	0dcfd67b-64b2-4333-af18-a2638dd82952	TCGA-D8-A13Y-01A	3cbfbcef-30ce-4631-ad26-93c6050cd77c	TCGA-D8-A13Y-01A-11	4a336cc0-bfa4-4cda-b225-bdada245d93a	TCGA-D8-A13Y-01A-11D	1.98	'--	'--	DNA	D	'--	0.16	aDNA Preparation Type	Yes	'--	'--	UV Spec	released	'--
TCGA-BRCA	17f275c1-a0d4-487d-8f02-ea279584b4cd	TCGA-D8-A13Y	0dcfd67b-64b2-4333-af18-a2638dd82952	TCGA-D8-A13Y-01A	3cbfbcef-30ce-4631-ad26-93c6050cd77c	TCGA-D8-A13Y-01A-11	7e1b1793-7f56-4916-b930-81a110df383d	TCGA-D8-A13Y-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-BRCA	17f275c1-a0d4-487d-8f02-ea279584b4cd	TCGA-D8-A13Y	0dcfd67b-64b2-4333-af18-a2638dd82952	TCGA-D8-A13Y-01A	3cbfbcef-30ce-4631-ad26-93c6050cd77c	TCGA-D8-A13Y-01A-11	9ebf9833-bc0c-420d-a322-1bcf26cb3137	TCGA-D8-A13Y-01A-11R	2.04	'--	'--	RNA	R	'--	0.16	mirVana (Allprep DNA) RNA	Yes	1.6	7.8	UV Spec	released	'--
